지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
159,2020-01,6.4,10.9,3.1,17.7,-3.2,20200107,20200101,1012.8,1021.4,1031.7,1001.2,20200101,20200108,5.7,19.4,1.1,20200107,20200101,-2.3,57,18,20200116,127.7,73.3,,,20200127,,,79.1,3.6,55.2,2.6,20200112,20200112,3,15.9,28.9,250,200,20200107,20200107,5.1,3.5,184.8,59.06,283.59,,,,,,-1.8,-8.8,20200115,5.3,6.9,6.8,7.4,7.8,8.2,11.1,13.4,17.5,18.8
159,2020-02,7.1,11.8,3.1,18.1,-5,20200214,20200206,1014.7,1023.3,1035.3,1005.3,20200221,20200216,6,16,.9,20200212,20200206,-2.2,55,14,20200205,94.9,49.8,,,20200225,,,100,6.7,70,4.7,20200222,20200222,3.1,14.2,24.4,290,270,20200222,20200222,3.9,2.4,207.7,67.92,373.12,,,,,,-2.5,-10.9,20200205,7.1,7.9,7.7,8.1,8.3,8.5,10.3,12,15.9,17.8
159,2020-03,10.4,15,6.4,18.2,-.3,20200319,20200305,1008.5,1016.9,1026.6,1000.8,20200303,20200319,7.4,18.4,1.4,20200327,20200314,1.4,57,15,20200314,58.8,24.6,,,20200326,,,142.6,7.5,99.8,5.3,20200320,20200320,3.6,13.3,22.7,250,250,20200319,20200319,4,2.1,243,65.34,534.87,,,,,,1.5,-4.9,20200306,13,11.8,11.4,11.3,11.2,11,11.4,12.1,15.1,16.9
159,2020-04,12.6,17.5,8.9,24.4,4.4,20200429,20200423,1008.1,1016.4,1026.7,1005.5,20200410,20200419,7.6,16.4,2.4,20200430,20200421,2.2,53,15,20200422,83.5,33.2,8,2.7,20200419,20200417,20200417,187.4,10.4,131,7.3,20200421,20200421,3.7,13,24.4,230,290,20200425,20200421,3.7,1.9,262.4,66.75,649.75,,,,,,3.6,-1.1,20200406,17.2,15.2,14.6,14.3,14.1,14.1,13.5,13.5,14.9,16.3
159,2020-05,17.9,21.8,15,26,12.2,20200527,20200522,1002.5,1010.6,1020,996.2,20200507,20200519,14.7,22,6,20200516,20200514,12.4,73,20,20200514,96.2,50.8,12.1,4.4,20200509,20200503,20200503,164.6,9.5,114.7,6.6,20200513,20200513,3.1,11.8,18.4,250,250,20200519,20200509,5.8,3.3,215.1,49.48,645.68,,,,,,12,8.1,20200514,22.8,20.9,20.1,19.5,19.1,19,16.7,15.6,15.2,16
159,2020-06,22.4,26.6,19.5,30.7,16.8,20200628,20200618,998.5,1006.4,1016,989.7,20200608,20200630,19.7,27.7,6.5,20200625,20200608,16.9,73,19,20200608,321.1,99.2,33.2,8.6,20200629,20200613,20200613,177.9,9,124.3,6.3,20200608,20200608,3,13,21.9,230,200,20200630,20200630,5.7,2.8,231.2,53.24,660.4,,,,,,16.1,9.4,20200602,28.2,26,25.1,24.4,23.9,24,20.8,18.9,15.2,16.3
159,2020-07,22.1,24.8,20.3,30.6,17.8,20200731,20200717,999.3,1007.2,1016.7,997.7,20200730,20200724,23.2,31.5,14.9,20200730,20200703,19.7,87,57,20200702,796.8,208.7,81.6,22.3,20200710,20200723,20200723,101.2,7.4,70.9,5.2,20200717,20200717,2.7,13.2,19.9,230,230,20200720,20200720,8.4,6.2,86.9,19.66,393.46,,,,,,19,14.7,20200717,24.9,24.1,24,23.8,23.7,24.2,23,21.8,17.9,17.6
159,2020-08,27.2,30.4,24.8,33.2,23.4,20200820,20200827,1001.6,1009.5,1014.9,997.6,20200805,20200810,29.5,35.9,21.6,20200825,20200820,23.8,82,52,20200819,399.2,163.1,62.5,16.9,20200808,20200807,20200807,167.3,7.9,117.2,5.5,20200819,20200819,4,13.4,21.7,230,230,20200806,20200808,5.9,3.6,206,49.44,582.67,,,,,,23,20.9,20200824,31.4,29.7,29,28.4,28,28.1,25.7,24.2,20.1,19.2
159,2020-09,21.9,25.6,19.2,30.6,15.5,20200901,20200929,1002.6,1010.6,1018.4,957.6,20200927,20200907,19.6,31.5,9.4,20200902,20200919,16.8,74,29,20200919,230.5,113.6,38.4,7.5,20200907,20200907,20200907,135.1,7.2,94.4,5.1,20200903,20200903,3.5,20.5,35.7,140,110,20200903,20200903,6,3.2,159.6,42.94,437.36,,,,,,16.2,9.1,20200921,24.6,23.7,24.1,24.4,24.6,25.4,25.5,24.9,21.3,20.2
159,2020-10,17.3,22.2,13.8,25.9,7,20201003,20201024,1010.4,1018.6,1027,1007.5,20201031,20201004,11.5,21.8,4.8,20201003,20201024,8.4,58,22,20201024,26.4,15.8,4.8,1.8,20201022,20201022,20201022,149.2,7.4,104,5.1,20201005,20201005,2.8,8.9,20.5,320,50,20201005,20201008,4.2,2.4,219.8,62.78,462.44,,,,,,8.1,2.2,20201029,20.6,19.6,19.8,20.2,20.5,21.2,22.6,22.8,21.1,20.5
