지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
119,2018-01,-3.6,1.3,-7.8,8.9,-16.8,20180115,20180126,1020.5,1024.9,1034,1008.2,20180112,20180108,2.9,7.7,.5,20180115,20180124,-11.7,57,19,20180128,7.9,2.1,,,20180122,,,40.9,2,26.6,1.4,20180128,20180128,1.8,7.1,12.5,290,340,20180108,20180124,4,2.5,194.1,62.98,231.84,3.1,2.8,5.9,20180113,20180113,-8.9,-16.8,20180126,-2.3,,,,,,,,,
119,2018-02,-1.6,4.3,-6.8,11.1,-14.6,20180226,20180207,1019.8,1024.1,1031.5,1001.1,20180202,20180228,3.1,8.7,1,20180228,20180217,-10.7,54,12,20180225,29.1,22.9,,,20180228,,,54.6,3.2,37.8,2.2,20180225,20180225,2,6.8,10.4,70,140,20180228,20180228,3.7,1.8,201.3,66.41,279.52,2.5,2.5,7.9,20180212,20180211,-8.7,-16,20180207,-1.2,,,,,,,,,
119,2018-03,7.9,14.2,2.9,23.2,-6.2,20180314,20180302,1016.5,1020.7,1031.5,1003.5,20180307,20180301,7.5,15.8,1.9,20180315,20180302,1.8,69,13,20180303,86,46.5,,,20180315,,,87.1,4.2,60.9,3,20180331,20180331,2.1,8.2,12.7,70,290,20180320,20180301,5,3.6,212.2,57.2,377.9,1.6,1.6,1.6,20180321,20180321,1.5,-7.2,20180302,8.4,,,,,,,,,
119,2018-04,12.6,19.3,6.8,27.3,0,20180421,20180408,1011.9,1016.1,1025.3,1005.2,20180413,20180410,9.2,19.2,2.8,20180430,20180407,4.9,65,12,20180421,128.8,66.2,11.6,2.9,20180423,20180423,20180423,129.1,7.9,90.1,5.5,20180421,20180421,2,8.7,15,200,230,20180410,20180410,4.5,3.1,219.2,55.51,493.31,,,,,,5,-2.2,20180408,13.4,,,,,,,,,
119,2018-05,17.9,23.7,12.6,29.5,6.9,20180526,20180503,1007.7,1011.7,1025.1,1001.8,20180510,20180502,14.7,28.3,5.8,20180516,20180504,12.1,73,22,20180504,196.4,64.8,25.4,18,20180517,20180516,20180516,149.2,8,104.6,5.6,20180519,20180519,2,7.9,13,270,290,20180504,20180504,5.4,3.5,219.3,49.91,564.21,,,,,,11.6,5.7,20180503,18.4,,,,,,,,,
119,2018-06,22.6,28.7,17.9,33.3,14,20180624,20180603,1004.1,1008.1,1017.3,998.1,20180602,20180628,19.3,30.9,10.4,20180626,20180603,16.7,72,26,20180603,107,95.5,28.5,9.7,20180626,20180626,20180626,171.4,8.3,120.1,5.8,20180602,20180622,1.9,6.3,10.7,250,250,20180626,20180626,5.8,3.1,229.2,52.06,610.81,,,,,,16.7,12.9,20180603,25.8,,,,,,,,,
119,2018-07,27.5,32.5,23.5,37.5,18.5,20180731,20180708,1005,1008.9,1016.4,995.4,20180709,20180704,27,36.1,13.1,20180728,20180708,22.2,75,29,20180721,222.7,105.7,27.8,11.5,20180701,20180702,20180703,183,8.7,128.2,6.1,20180729,20180729,1.8,5.6,9.9,290,50,20180722,20180703,4.7,3.4,255.2,56.98,609.73,,,,,,22.7,17.8,20180708,29.7,,,,,,,,,
119,2018-08,28.4,33.5,24.6,39.3,19,20180801,20180826,1003.5,1007.4,1014.5,989.7,20180817,20180824,27.4,35.6,14.5,20180806,20180818,22.4,72,34,20180818,218.6,124.8,38.7,22.4,20180828,20180828,20180828,178.5,10.3,124.7,7.2,20180817,20180817,2.1,6.3,11,110,140,20180816,20180816,5.5,3.6,234.8,55.83,546.86,,,,,,23.6,17.7,20180826,32.4,,,,,,,,,
119,2018-09,21.1,26.2,16.8,30.7,9.2,20180901,20180925,1009.6,1013.6,1023.6,995.7,20180911,20180904,17.7,29.7,7.6,20180903,20180930,15.1,71,28,20180922,61.7,20,6.8,4.1,20180921,20180903,20180906,135.4,7,94.6,4.9,20180901,20180901,1.9,5.9,9.8,270,270,20180930,20180905,5,3,212.3,56.89,459.39,,,,,,14.8,6.7,20180925,22.3,,,,,,,,,
119,2018-10,12.6,19.1,7.2,25.6,-.2,20181004,20181030,1015.1,1019.3,1028,1000.5,20181020,20181006,10.4,20.4,4.6,20181006,20181030,7,73,22,20181017,132.7,76,10.8,4.1,20181006,20181006,20181028,98.7,5.1,69.1,3.6,20181004,20181004,1.4,7.6,12,110,90,20181018,20181018,3.6,2,240.8,69.06,399.52,,,,,,4.4,-2.1,20181030,12.9,,,,,,,,,
