지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
159,2018-01,1.9,6.5,-1.9,14,-9.9,20180115,20180126,1013.4,1022.1,1033.7,1005.2,20180113,20180108,3.5,12.1,.7,20180116,20180125,-9.9,45,14,20180127,40.9,27.6,,,20180116,,,83.7,4.1,53.9,2.9,20180119,20180119,3.1,11.4,16.7,290,270,20180109,20180109,3.5,1.7,227.3,72.55,311.47,1.3,1.3,1.3,20180110,20180110,-4.9,-11.6,20180127,2.8,3.6,3.8,4.7,5.3,5.7,9.4,12.3,16.9,18.3
159,2018-02,3.9,8.9,-.2,14.7,-9.6,20180227,20180207,1013.2,1021.9,1028.1,991.5,20180201,20180228,3.8,12.7,1,20180228,20180206,-8.9,42,12,20180217,52.5,52.3,,,20180228,,,98,5.5,68.5,3.9,20180220,20180220,3.5,12.1,18.9,270,230,20180214,20180214,3.6,1.3,226.9,74.2,349.31,,,,,,-3.4,-11.2,20180207,5.7,5.3,5.2,5.5,5.6,5.3,7.7,10.2,15.2,17.4
159,2018-03,10,14.5,6,22.3,-.7,20180329,20180302,1011.2,1019.6,1031.5,992.5,20180306,20180301,7.8,16.6,2.1,20180315,20180302,2.5,63,19,20180301,206.1,62,,,20180315,,,107.6,6.7,75.3,4.7,20180327,20180327,3.9,12.5,20.2,270,50,20180301,20180320,4.2,2.9,213.1,57.41,325.17,,,,,,3.6,-1.5,20180309,11.4,10.6,10.4,10.4,10.2,9.9,10,10.8,13.8,16.2
159,2018-04,14.5,18.7,11.1,24.3,3,20180427,20180408,1007.5,1015.7,1025.6,1000.1,20180413,20180414,10.4,17.9,2.6,20180422,20180407,6.7,63,17,20180412,156.4,60.4,19,6.7,20180424,20180424,20180424,135.1,7.1,94.4,5,20180411,20180411,4,14.3,20.4,250,230,20180410,20180410,4.8,2.8,245.8,62.67,421.12,,,,,,8.5,.5,20180408,18,16.2,15.9,15.7,15.2,14.8,13.5,13.1,13.6,15.5
159,2018-05,17.8,21.5,15,26.6,9.8,20180526,20180510,1003.9,1012,1024.9,1002.6,20180510,20180502,14.9,24.4,5.7,20180517,20180503,12.3,73,24,20180503,155.8,42,8.6,3.1,20180506,20180506,20180502,80.8,10.2,56.7,7.1,20180504,20180504,3.8,13.3,18.9,230,230,20180516,20180516,6.2,3.7,216.5,49.83,265.31,,,,,,12.4,6.2,20180510,21.2,19.7,19.4,19.1,18.9,18.8,16.8,15.6,14.3,15.2
159,2018-06,21.5,25.2,18.9,31.3,15.1,20180624,20180617,1000.4,1008.4,1016,999.4,20180601,20180611,19.1,28.4,10.6,20180626,20180602,16.5,75,31,20180621,276.7,131.1,32.6,9.4,20180628,20180628,20180630,154.1,9.2,107.4,6.4,20180621,20180621,3.1,12.5,18.3,230,230,20180626,20180627,6.3,3.5,198.9,47.38,563.45,,,,,,16.9,11.8,20180617,26.3,24.4,24,23.7,23,23,20.6,18.6,15.6,15.5
159,2018-07,26.7,30.2,23.9,35.4,17.8,20180729,20180708,1000.8,1008.7,1018.1,987.3,20180709,20180703,26.9,36.3,16,20180727,20180707,22.2,78,38,20180729,122.1,90.9,11.8,3.9,20180703,20180703,20180701,128.8,10.9,90.4,7.6,20180720,20180720,3,8.3,18.4,50,90,20180703,20180703,4.4,2.6,283.4,64.07,446.43,,,,,,22.5,17.3,20180708,32.9,29.5,29.1,28.3,27.4,26.8,24.1,21.9,17.6,16.3
159,2018-08,27.9,31.3,25.3,36.4,21.2,20180805,20180819,1000.1,1007.9,1013.7,991.9,20180828,20180824,27.9,35,16.6,20180815,20180818,22.7,75,38,20180821,169.7,58.1,51.3,17.5,20180827,20180827,20180827,,,,,,,3.5,15.5,23.5,230,250,20180824,20180824,5.3,3.5,260,62.31,,,,,,,23.4,16.2,20180819,33.2,30.5,30.2,29.9,29.4,29.5,27.2,24.5,19.2,17.2
159,2018-09,21.9,25.3,19.5,30,14.9,20180904,20180925,1004.7,1012.7,1021.3,993.2,20180911,20180904,20.1,30,7.6,20180903,20180930,17.2,76,36,20180930,308.4,82.8,27,13,20180901,20180903,20180903,62.3,6.1,43.8,4.3,20180925,20180925,3,9.7,15,230,70,20180907,20180911,7.2,4.6,142.1,38.18,202.97,,,,,,16.9,7.8,20180925,23.6,23.7,23.7,24.1,24.3,25.3,25.2,24.4,21,18.5
159,2018-10,16.4,21.1,13,25.6,7.9,20181007,20181031,1009.5,1017.7,1026.3,986.4,20181020,20181006,11.8,27.1,5.3,20181006,20181031,8.8,62,31,20181021,123.7,67.4,18.4,4.7,20181006,20181006,20181006,121.3,5.4,84.8,3.8,20181030,20181030,2,19.2,33.6,230,200,20181006,20181006,3.7,2.1,245.8,70.05,443.16,,,,,,7.4,1.3,20181028,18.3,18.3,18.2,18.9,19.2,20.5,21.6,22.2,21.2,19.5
