지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
133,2020-01-01,-.6,-7.7,17,5.1,1439,2.58,,,,,0,7.2,270,1239,3.8,270,1244,.9,813,-6.4,47,1232,65.8,3.9,1023.9,1035.7,1,1031.2,1427,1032.9,9.7,5.7,1200,2.36,10.57,,,,,,6.5,6.5,.9,-12,1,1.3,3.1,3.8,5.3,8.5,11,16.1,18.2,1.1,1.6,,
133,2020-01-02,1.3,-2.8,336,5.3,1410,,,,,,,5.4,230,1353,2.6,250,1334,.9,771,-2.4,57,1402,76.9,5.1,1021.4,1032.2,901,1029,1803,1030.4,9.7,.2,1200,.89,3.96,,,,,,6.3,6.3,.7,-8.9,1.8,2,3.2,3.7,4.9,8.4,11,16,18.2,.6,.8,,
133,2020-01-03,2,-1.7,2400,7.7,1511,,,,,,,7.7,230,1243,4,250,1245,1.1,971,-2.5,47,1524,73.4,5.1,1018.9,1029.7,941,1025.8,1452,1027.7,9.8,7.3,1200,1.87,10.18,,,,,,2.6,2.6,2.4,-8.1,2.5,2.5,3.5,3.9,4.8,8.1,10.9,15.9,18,1.1,1.5,,
133,2020-01-04,.6,-3.9,554,7.7,1507,,,,,,,5.7,250,1414,3,250,1402,.9,768,-3,55,1512,78.1,5,1018.2,1029.2,2351,1025.1,1415,1027.1,9.8,5.4,1400,1.4,7.51,,,,,,1.8,1,1,-9.7,1.5,1.8,3.2,3.8,4.9,8.1,10.7,15.8,18.1,.9,1.3,,
133,2020-01-05,1.3,-4.7,759,8.1,1330,,,,,,,3.5,50,1406,2,180,24,.8,706,-5.7,30,1503,63.5,4,1022.1,1033.2,957,1028.9,43,1031.1,9.8,8.2,1300,2.07,12.49,,,,,,3.1,.4,1,-11.1,1.4,1.4,2.9,3.5,4.6,7.8,10.6,15.7,18,1.4,2,1,
133,2020-01-06,2.9,-.6,30,5,2328,16.42,,,,,10.3,8.7,50,1855,4.7,50,1859,1.2,1079,.9,65,1,87.4,6.7,1017.6,1030.9,39,1020.8,2359,1026.4,9.8,0,1200,.38,1.9,,,,,,9.9,7.5,2.2,-6.5,2.4,2.3,3.2,3.6,4.4,7.8,10.6,15.6,18,.3,.5,28.8,.33
133,2020-01-07,8.6,4.9,1,14.2,2103,24,,,,,57,11.1,160,2034,4.9,140,2359,1.3,1133,7.9,94,2342,95.9,10.8,1002.1,1020.8,1,1000.7,2240,1010.6,9.8,0,1200,.21,1.03,,,,,,10,8.8,6.8,4.4,5.7,4.8,4.9,4.8,5,7.7,10.4,15.5,18,.4,.5,39.7,1.32
133,2020-01-08,4.5,2.3,2340,11.2,10,16.5,,,,,2.4,11.1,230,835,5.2,160,16,2.2,1932,2.7,75,2242,88.4,7.5,1007.4,1023.9,2232,1001,9,1016,9.8,.2,1100,.7,1.9,,,,,,9.9,8.6,5.5,1.5,6,6.2,6.5,6.4,5.7,7.1,9.8,15.5,18,.5,.7,.2,
133,2020-01-09,1.4,-2,2359,5,1500,,,,,,,6.8,250,1528,3.8,270,1112,1.8,1517,-3.4,51,1519,71,4.8,1015.8,1026.5,2231,1022.9,1422,1024.6,9.8,7.8,1200,1.84,10.58,,,,,,3.5,3.3,3.1,-7.9,4.3,4.4,5.5,5.9,6.1,7.6,9.7,15.4,17.9,1.2,1.7,,
133,2020-01-10,.3,-3.9,746,6.4,1444,,,,,,,3.9,250,1449,2,70,1144,.9,759,-4.1,38,1514,74.5,4.5,1015.4,1027,936,1022.2,1607,1024.3,9.9,8.5,1200,2.07,11.83,,,,,,3.6,0,1.8,-9,2.6,2.7,4.2,4.9,5.9,7.7,9.8,15.3,17.9,1.3,1.8,,
133,2020-01-11,1.2,-3,801,7,1431,,,,,,,5.5,270,1332,2.7,270,1338,1.1,936,-3.4,52,1433,72.5,4.7,1012,1023.1,1,1018.5,1531,1020.8,9.9,7.9,1200,1.96,11.1,,,,,,5.6,3.8,1.7,-8.1,2.7,2.5,3.8,4.3,5.4,7.8,9.8,15.2,17.9,1.2,1.7,,
133,2020-01-12,1.4,-1.6,806,6.4,1424,,,,,,,7.6,200,1628,4.2,250,1633,1.4,1232,-4.6,44,1427,64.8,4.3,1010.3,1021.5,2236,1017,1432,1019.2,9.9,6.6,1300,2.1,10.18,,,,,,5.3,4.5,3,-6.6,3,2.9,4,4.4,5.1,7.6,9.6,15.1,17.8,1.2,1.8,0,
133,2020-01-13,.2,-3.6,2243,3.5,1614,5.08,,,,,0,7.6,270,1143,4.5,250,1150,1.7,1442,-6.5,40,1627,61.3,3.8,1014.8,1027.1,2323,1020.7,123,1023.8,9.9,4.2,1200,1.16,6.83,,,,,,6,5.3,.8,-10.1,2.1,2.7,3.9,4.3,5.3,7.4,9.7,14.9,17.8,.9,1.3,0,
133,2020-01-14,-.1,-3,736,4.6,1357,,,,,,,5.1,290,1410,2.5,340,1331,1,835,-7,42,1303,60.5,3.6,1017.4,1028.5,2336,1024.2,1357,1026.3,9.9,7.1,1300,1.9,10,,,,,,5.1,3.5,1,-8.4,1.6,1.8,3.2,3.8,4.9,7.7,9.6,15,17.7,1.1,1.6,,
133,2020-01-15,-.9,-4.1,804,4.2,1550,,,,,,,5.6,200,1448,3.3,250,1230,1.1,968,-6.9,40,1527,65.4,3.7,1020.1,1030.7,1041,1027.7,1508,1029.1,9.9,8.9,1300,2.19,12.73,,,,,,1.9,1.3,.4,-9.6,1.3,1.3,2.8,3.4,4.6,7.2,9.6,14.8,17.7,1.3,1.9,,
133,2020-01-16,-.6,-4.1,459,5.6,1550,,,,,,,4.9,270,1405,2.6,270,1621,1,873,-9.3,21,1435,56.5,3.1,1018.6,1029.9,644,1025.3,1625,1027.6,10,7.9,1200,2.1,12.08,,,,,,5.6,0,.4,-9.8,.9,1.1,2.6,3.2,4.3,7.2,9.5,14.7,17.7,1.5,2.2,,
133,2020-01-17,0,-2.8,725,5.8,1504,,,,,,,3.6,250,1613,1.9,270,1538,.7,644,-8,26,1604,56.5,3.4,1014.8,1026.3,1,1021.7,1511,1023.8,10,5.3,1300,1.77,9.46,,,,,,4.4,.4,1.1,-8.6,1,1.1,2.4,3,4.2,7.1,9.5,14.7,17.6,1.3,1.8,,
