지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
133,2020-01,2.7,7.8,-1.2,14.2,-7.7,20200107,20200101,1015.1,1024,1035.7,1000.7,20200101,20200107,5.2,15.3,2.1,20200107,20200121,-2.9,69,20,20200121,78.5,57,,,20200107,,,50.2,3,35.2,2.1,20200126,20200126,1.2,7.5,16.5,20,50,20200126,20200126,6,4,148,47.76,266,,,,,,-6.2,-12,20200101,2.7,3.1,3,4,4.4,5,7.3,9.6,14.8,17.7
133,2020-02,3.6,9.3,-1.2,16.8,-10.5,20200215,20200206,1016.6,1025.4,1036.9,1011.7,20200206,20200216,5.6,12.1,1.4,20200215,20200205,-2.5,68,15,20200224,91.2,55.3,,,20200225,,,66.6,3.9,46.4,2.8,20200224,20200224,1.3,5.9,12.5,250,200,20200222,20200222,4.8,3.4,184.7,58.62,360.98,2,1.5,5,20200218,20200217,-6.4,-15.9,20200206,4.6,5,4.7,5.5,5.7,6,7.3,8.7,12.8,16.5
133,2020-03,8.5,15,2.3,23.1,-3.6,20200321,20200306,1009.8,1018.4,1028.3,1004.1,20200305,20200319,6.2,15.8,2.2,20200327,20200313,-.8,56,12,20200324,24.4,12.6,,,20200327,,,130.8,7.2,91.8,5,20200322,20200322,1.6,7,15.5,250,250,20200315,20200315,3.6,2.1,258,69.45,570.79,,,,,,-3.3,-9.7,20200306,10.1,9.6,9.1,9.5,9.6,9.3,9.2,9.6,12.1,15.5
133,2020-04,11.5,18.7,5.2,26.9,.6,20200430,20200405,1009.4,1017.9,1026.7,1007,20200410,20200425,6.8,17.7,1.6,20200430,20200408,.5,51,9,20200408,17.8,12.4,3.8,.8,20200419,20200419,20200419,184.6,8.4,129,5.9,20200429,20200408,2,7.6,14.1,50,200,20200412,20200425,3,1.5,301.3,76.41,711.35,,,,,,-.2,-6.8,20200405,15.4,14.5,13.8,14.1,14,13.2,12.3,11.9,12.4,14.8
133,2020-05,18.8,24.4,13.9,29.3,8.6,20200501,20200520,1002.5,1010.6,1019.9,993.3,20200514,20200518,14.9,21.3,4.8,20200518,20200508,12.4,71,18,20200508,80.4,24.9,8.3,4.7,20200515,20200522,20200522,173.7,11.4,121.7,8,20200507,20200507,1.6,7.8,14.3,70,70,20200518,20200518,6.1,3.8,239.9,54.8,677.69,,,,,,11.1,3.3,20200513,22.1,21.4,20.6,20.5,20.2,18.9,16.5,15.1,13.6,14.6
133,2020-06,24.1,29,20,34.3,15,20200609,20200602,998.5,1006.5,1016.8,986.5,20200609,20200630,22.3,30.9,8.8,20200613,20200601,19,76,26,20200601,192.5,58.7,22.5,6.4,20200610,20200610,20200610,166.9,9.1,117,6.4,20200622,20200622,1.4,6.7,11.2,90,160,20200602,20200610,6.2,4,209.7,49.54,609.37,,,,,,17.9,12.1,20200602,28,26.9,26,25.9,25.6,24.2,21.7,19.3,15.8,15
133,2020-07,23.6,27.2,20.7,31.6,17.3,20200709,20200701,999,1006.9,1015.9,996.5,20200731,20200724,25.4,35.6,19.2,20200731,20200701,21.2,88,51,20200718,544.9,141.3,46.1,11.3,20200730,20200730,20200730,108.9,7.3,76.6,5.1,20200709,20200709,1.4,6.7,12.6,110,140,20200723,20200723,8.4,6.1,95.9,21.54,428.51,,,,,,19.6,15.3,20200702,25.6,25.7,25.1,25.3,25.2,24.2,23.2,22,18.8,15.8
133,2020-08,27.5,31.5,24.6,35.4,22.8,20200825,20200808,1001.1,1009,1015.3,997.5,20200821,20200827,31.3,38.2,25.2,20200812,20200820,24.8,87,46,20200820,361.6,59.3,25.1,10,20200811,20200828,20200804,134.7,7.2,94.2,5,20200825,20200825,1.5,8.1,15.4,110,110,20200826,20200826,6.9,4.6,176.8,42.21,498.2,,,,,,23.5,21.7,20200824,29.1,29,28.4,28.6,28.4,27.5,26,24.7,21.9,17.9
133,2020-09,21.2,25.9,17.4,31.4,12.3,20200901,20200921,1004.2,1012.3,1020.4,981.4,20200922,20200903,20.1,33,11.6,20200902,20200920,17.3,80,37,20200921,173.6,61.8,14.6,3.5,20200903,20200903,20200903,119.5,6.3,83.7,4.4,20200904,20200904,1.4,7.2,15.6,320,270,20200903,20200903,5.9,3.5,196.3,52.74,481.31,,,,,,15.1,8.7,20200929,23.5,24,23.7,24.5,24.8,25.1,25.2,25,22.7,18.9
133,2020-10,14.2,20.6,8.9,25.5,3.4,20201001,20201030,1012.8,1021.2,1029.3,1010.4,20201020,20201004,11.4,22.5,4.4,20201003,20201024,8.3,70,22,20201029,3.2,2.1,1.6,.5,20201003,20201003,20201003,99.7,6.1,69.8,4.3,20201008,20201008,1.3,7.1,13,110,90,20201008,20201008,4.2,2,224.1,66.42,404.05,,,,,,4.1,-2.2,20201029,16.8,17.5,17.6,18.4,19,19.9,21.1,22,21.9,19.3
