지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
133,2019-01,0,5.7,-4.8,9.5,-8.6,20190123,20190109,1018.1,1026.9,1037.9,1018.4,20190103,20190120,3.7,7.5,1.5,20190112,20190109,-7.5,60,16,20190124,1.7,.8,,,20190128,,,56.9,2.8,40.1,2,20190124,20190124,1.2,5.6,10.6,320,320,20190120,20190128,3.6,2.4,207.3,66.87,317.39,0,0,0,20190101,20190101,-8.9,-13.5,20190102,-.3,.2,0,1.3,1.9,3.3,6.1,8.8,14.5,17.9
133,2019-02,2,7.8,-2.9,15.1,-7.5,20190224,20190208,1016.1,1024.8,1037,1009.5,20190212,20190203,4.3,10.9,1.2,20190203,20190208,-5.8,60,16,20190210,46.3,27.1,,,20190203,,,64.5,3.9,45,2.7,20190226,20190226,1.3,5.9,10.6,320,270,20190207,20190207,5.3,2.6,187.2,61.54,356.73,,,,,,-6.1,-9.8,20190202,2.7,3.3,2.9,3.7,4,4.5,5.9,7.7,12.5,16.6
133,2019-03,7.7,14,2.1,21,-2.6,20190327,20190314,1009.5,1017.9,1027.5,1000.8,20190308,20190321,6.1,14.9,1.4,20190321,20190309,-.6,60,7,20190309,33.7,17.7,,,20190320,,,107.7,5.9,75.7,4.1,20190326,20190326,1.6,6.6,13.6,180,320,20190320,20190323,5.1,3.3,216.9,58.48,488.53,,,,,,-1.4,-7.7,20190314,8.4,8.5,8.2,8.6,8.6,8.3,8.3,8.8,11.6,15.5
133,2019-04,12.9,18.9,7.2,29.3,-1.1,20190422,20190402,1007.2,1015.5,1026.3,1005.1,20190403,20190424,9.1,20,2.4,20190424,20190402,4.1,61,11,20190416,91.6,31.3,8.6,1.9,20190409,20190409,20190409,138.5,8,96.8,5.6,20190417,20190417,1.6,7.8,13.9,110,90,20190409,20190409,5.5,3.4,202.4,51.44,548.21,,,,,,4.1,-4.6,20190402,15.5,14.3,13.6,13.7,13.5,12.6,11.5,11.1,11.9,14.8
133,2019-05,19.7,26.7,12.9,32.7,5.6,20190524,20190507,1004.3,1012.3,1020.6,1002.4,20190504,20190527,12.3,23.7,3.7,20190527,20190506,9.3,56,13,20190506,35.6,14.4,4,1.6,20190527,20190518,20190520,216.5,9.6,151.5,6.7,20190526,20190526,1.8,6.3,13.7,140,110,20190526,20190526,4,1.4,297.8,70.4,759.89,,,,,,8.5,.6,20190507,24.2,22.4,21.5,21.2,20.8,19.1,16.7,15.1,13.4,14.6
133,2019-06,22.6,27.9,17.9,33.2,12.9,20190625,20190601,999.4,1007.4,1016.7,994.8,20190625,20190629,19.2,27.9,10.2,20190627,20190602,16.6,72,26,20190602,77.9,25.6,8.7,3.5,20190607,20190607,20190607,176.5,8.6,123.6,6,20190603,20190604,1.3,5.6,11.9,250,20,20190615,20190607,5.6,3.4,228.5,52.19,671.8,,,,,,14.6,8,20190601,27.1,26.3,25.5,25.2,24.8,23.1,20.6,18.8,15.6,14.9
133,2019-07,25.8,29.9,22.4,35.1,17.2,20190705,20190702,998.6,1006.6,1012.8,996.9,20190717,20190720,26,35.9,16.1,20190725,20190706,21.5,79,27,20190705,199,46.5,20.3,10.7,20190725,20190716,20190716,157.8,11.4,110.5,8,20190706,20190706,1.6,7,11.9,70,20,20190706,20190707,7,4.7,181.7,40.78,566.06,,,,,,20,13.9,20190702,28.5,28.1,27.4,27.3,27,25.8,23.5,21.7,17.7,15.6
133,2019-08,27.2,31.6,23.6,36,18.3,20190805,20190831,999.3,1007.2,1016.6,990.5,20190831,20190815,27.9,36.1,17.7,20190804,20190830,22.7,78,44,20190818,104.3,34.6,10.8,7.2,20190827,20190829,20190829,164.8,8.9,115.3,6.3,20190810,20190810,1.3,8.2,13.3,70,50,20190811,20190811,5.9,3.7,230.1,54.86,601.3,,,,,,20.9,15.3,20190831,29.8,29.8,29.1,29.3,29.1,28.1,26.1,24.3,20,16.6
133,2019-09,22.5,26.8,18.9,31.5,12.3,20190910,20190924,1006.8,1014.9,1025.3,992.2,20190926,20190907,22.1,31.9,11.1,20190905,20190918,18.7,81,28,20190918,167,68,18.8,7.5,20190922,20190905,20190905,110.7,6.7,77.6,4.7,20190918,20190918,1.3,10.9,21,90,110,20190907,20190907,6.6,4.2,153.2,41.06,430.36,,,,,,16.3,8.5,20190925,24.4,24.6,24.2,24.7,24.8,24.6,24.2,23.9,21.4,17.8
133,2019-10,16.2,21.5,11.6,27.5,4.6,20191004,20191028,1011,1019.3,1029.7,998.4,20191015,20191003,14,25.6,6.4,20191001,20191027,11.5,76,32,20191008,106.1,82.5,13,3.2,20191002,20191002,20191002,101.3,5.2,71.2,3.6,20191012,20191012,1.1,5.2,9.8,50,290,20191006,20191008,4.8,3.1,206.9,59.15,424.26,,,,,,7.1,-1,20191028,17.7,18.4,18.2,19.3,19.7,20.1,21.1,21.7,21.4,18.7
133,2019-11,8.7,15.2,3.4,22,-2.6,20191101,20191121,1014.6,1023.3,1035.1,1005.6,20191121,20191110,8.2,16.6,2.2,20191124,20191129,3.2,72,19,20191129,94,65.2,,,20191117,,,66,3.3,45.8,2.3,20191101,20191101,1,6.1,13.9,270,230,20191124,20191124,4.3,2.6,195.9,63.58,320.6,,,,,,-2,-8.7,20191130,9.4,10.5,10.6,12,12.7,13.7,16.2,18,20,19
133,2019-12,2.6,7.9,-1.8,15.2,-9.6,20191216,20191206,1017.6,1026.4,1039.8,1013.6,20191206,20191217,5.3,12.1,1.5,20191217,20191206,-2.9,70,23,20191206,27,12.3,,,20191201,,,47,2.9,33.1,2,20191204,20191204,1.1,5.8,11.9,270,250,20191230,20191231,4.5,3.3,166.4,55.14,258.97,,,,,,-7.3,-15,20191206,2.9,3.7,3.9,5.3,5.9,7.1,10.4,13.1,17.6,18.6
