지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
131,2020-01-01 00:00,-6.5,,.7,270,66,2.5,-11.8,1027.9,1035.4,,,,,0,0,,,2092,,,-4,,,,
131,2020-01-01 01:00,-6.6,,1.3,200,64,2.4,-12.2,1027.3,1034.8,,,,,0,0,,,2042,,,-3.5,,,,
131,2020-01-01 02:00,-6.9,,1.5,140,68,2.5,-11.8,1026.4,1033.9,,,,,9,9,,13,1871,,,-3,,,,
131,2020-01-01 03:00,-6.5,,1.4,140,67,2.5,-11.6,1026.5,1034,,,,,9,9,Sc,12,1825,,,-2.6,,,,
131,2020-01-01 04:00,-5.7,,.8,140,67,2.7,-10.8,1026.4,1033.9,,,,,9,9,Sc,7,1962,,,-2.3,,,,
131,2020-01-01 05:00,-5.4,,.8,160,66,2.7,-10.7,1026.2,1033.7,,,,,9,9,Sc,6,2000,,05,-2,,,,
131,2020-01-01 06:00,-5,0,.3,0,67,2.8,-10.1,1026.3,1033.8,,,,,9,9,Sc,6,2000,,05,-2,,,,
131,2020-01-01 07:00,-4.9,,1.1,160,68,2.9,-9.9,1026.3,1033.8,,,,,9,9,Sc,13,1760,,,-2.1,,,,
131,2020-01-01 08:00,-4.5,,.9,180,69,3,-9.3,1026.4,1033.9,0,0,,,9,9,Sc,11,1658,,,-1.8,,,,
131,2020-01-01 09:00,-4,,.4,0,70,3.2,-8.6,1026.8,1034.3,0,.02,,,9,9,Sc,10,1393,,,-1.3,,,,
131,2020-01-01 10:00,-3.5,,.7,140,69,3.3,-8.3,1027.1,1034.5,0,.28,,,9,9,Sc,10,1383,,,-.4,,,,
131,2020-01-01 11:00,-2.3,,.3,0,66,3.4,-7.8,1026.7,1034.1,0,.69,,,9,9,Sc,11,1801,,,0,,,,
131,2020-01-01 12:00,-1.3,,.3,0,67,3.7,-6.6,1025.8,1033.2,.1,.85,,,9,9,Sc,10,1304,,,1,,,,
131,2020-01-01 13:00,.6,,.6,250,61,3.9,-6,1025,1032.3,.3,1.14,,,9,9,Sc,12,1775,,,1.2,,,,
131,2020-01-01 14:00,1,,1.7,50,62,4.1,-5.4,1024.3,1031.6,0,.61,,,9,9,Sc,13,1333,,,1.2,,,,
131,2020-01-01 15:00,.3,,.7,360,70,4.4,-4.5,1024.6,1031.9,0,.64,,,9,9,Sc,13,1017,,,1.1,,,,
131,2020-01-01 16:00,.6,,.6,20,70,4.5,-4.2,1025.1,1032.4,0,.3,,,9,9,Sc,14,1050,,,.5,,,,
131,2020-01-01 17:00,.3,,0,0,72,4.5,-4.1,1025.1,1032.4,0,.12,,,9,9,Sc,14,1050,,,-.2,,,,
131,2020-01-01 18:00,.1,,.1,0,76,4.7,-3.6,1025.2,1032.5,0,.02,,,9,9,Sc,13,869,,19,0,,,,
131,2020-01-01 19:00,.1,,0,0,79,4.9,-3.1,1025,1032.3,,,,,9,9,,12,761,,19,0,,,,
131,2020-01-01 20:00,0,,.2,0,80,4.9,-3,1024.8,1032.1,,,,,7,7,,11,714,,19,0,,,,
131,2020-01-01 21:00,-.4,,.2,0,81,4.8,-3.2,1024.5,1031.8,,,,,8,8,Sc,10,605,,19,0,,,,
131,2020-01-01 22:00,-.4,,.2,0,81,4.8,-3.2,1024.7,1032,,,,,9,9,,12,620,,19,0,,,,
131,2020-01-01 23:00,-.3,,.3,0,80,4.8,-3.3,1025,1032.3,,,,,0,0,,,652,,19,0,,,,
131,2020-01-02 00:00,-.4,,.8,50,81,4.8,-3.2,1024.5,1031.8,,,,,8,8,Sc,11,595,,19,0,,,,
131,2020-01-02 01:00,-.5,,0,0,82,4.8,-3.2,1024,1031.3,,,,,6,6,,11,564,,19,0,,,,
131,2020-01-02 02:00,-.7,,0,0,83,4.8,-3.2,1023.6,1030.9,,,,,1,1,,10,537,,19,0,,,,
131,2020-01-02 03:00,-.9,,.2,0,84,4.8,-3.2,1023.6,1030.9,,,,,8,8,Sc,11,527,,19,0,,,,
131,2020-01-02 04:00,-.7,,0,0,81,4.7,-3.5,1023.7,1031,,,,,8,8,Sc,11,670,,19,-.1,,,,
131,2020-01-02 05:00,-.3,,.9,230,83,5,-2.8,1023.2,1030.5,,,,,9,9,Sc,11,594,,19,-.2,,,,
131,2020-01-02 06:00,-.5,,0,0,84,5,-2.8,1023.5,1030.8,,,,,9,9,Sc,11,553,,19,-.2,,,,
